"","scores","scores2"
"40",-0.23630720821444,-0.223897539046213
"41",-0.222072820121449,-0.194885943876316
"42",-0.21303061764116,-0.207251526048911
"43",-0.0895573541606908,-0.142210118682842
"44",-0.134040326985785,-0.178145519696901
"45",-0.156322238337118,-0.211575515982018
"46",-0.157689436335208,-0.184646185097686
"47",-0.208447047157878,-0.237918613206584
"1",-0.225717433043212,-0.152244486587245
"2",0.149173745779129,0.193802768565865
"3",-0.0369939381021231,0.00770243605022396
"4",-0.151803174136825,-0.0839853419560878
"5",-0.360310732002381,-0.195154467903261
"6",-0.19175685747839,-0.0898571248134063
"7",-0.154561124841106,-0.151228837903698
"8",0.082318090222142,-0.0755438585001848
"9",0.656842892715011,0.584700699098794
"10",-0.25300546691314,-0.14227106241245
"11",-0.154885242466613,-0.100848004123134
"12",-0.103180567698609,-0.0973858660142619
"13",-0.129856846868916,-0.13154524793284
"14",0.421415035485517,0.407162101927386
"15",1.2320320915916,1.16574470034634
"16",-0.0729779258677,-0.0514353945232534
"17",-0.216004406855247,-0.158449171869142
"18",0.57181490469352,0.530966024916896
"19",-0.0063620624022283,0.030989347888739
"20",0.17315337190478,0.216120603362255
"21",-0.087097122504634,-0.0494848168801774
"22",-0.0231059044596361,-0.0240089981914698
"25",0.663688070586361,0.583134882358472
"23",0.810881913777275,0.630823717115488
"24",0.053810994903603,0.0637547783529371
"26",-0.130154766060289,-0.0748601611197335
"27",0.977443146458073,0.936739769391732
"28",0.0215054690743612,0.0767192507050608
"29",-0.15926459507941,-0.0632867630795465
"30",-0.0911873006413992,-0.0176404430296903
"31",0.409577445665525,0.409606557770708
"32",-0.162637491242264,-0.121055208205982
"33",-0.0532219656000752,0.00331629122949487
"34",0.399160226659732,0.416604436420945
"35",-0.142362905797394,-0.0928503362694201
"36",-0.151672575446601,-0.0980033211201979
"37",-0.155858266760046,-0.121403229170039
"38",-0.0287325321595033,0.00749836357009307
"39",-0.138912140527227,-0.160433342191197
